		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111001100   18   19   22   20   19   30   25   25  6.627266 0.577328 SUCCESS 124
111010000   16   27   31   22   28   15   33   21 13.280825 0.102546 SUCCESS 125
111010010   21   22   32   34   36   22   27   19 14.554474 0.068410 SUCCESS 126
111010100   32   21   19   30   19   21   30   32 11.002952 0.201532 SUCCESS 127
111010110   23   19   25   27   19   15   25   22  6.855649 0.552284 SUCCESS 128
111011000   33   12   24   16   18   29   28   30 17.152745 0.028557 SUCCESS 129
111011010   30   21   23   27   16   32   24   28  8.180933 0.415999 SUCCESS 130
111011100   28   26   22   28   18   25   21   24  3.697343 0.883346 SUCCESS 131
111100000   23   28   22   30   28   30   21   25  4.589030 0.800461 SUCCESS 132
111100010   27   32   21   24   31   29   23   25  6.072527 0.639108 SUCCESS 133
111100100   22   18   33   20   27   16   22   29 10.348254 0.241429 SUCCESS 134
111100110   15   21   23   19   16   23   20   27  9.726655 0.284738 SUCCESS 135
111101000   10   22   32   22   26   19   30   21 14.880830 0.061504 SUCCESS 136
111101010   23   20   16   23   17   20   31   30 10.288014 0.245390 SUCCESS 137
111101100   31   23   21   20   17   31   25   27  7.705631 0.462740 SUCCESS 138
111101110   23   21   26   26   17   29   23   19  5.323166 0.722543 SUCCESS 139
111110000   22   25   28   29   35   20   29   26  8.292807 0.405403 SUCCESS 140
111110010   19   19   22   20   30   18   20   26  7.524911 0.481196 SUCCESS 141
111110100   12   27   23   33   23   31   23   23 12.111769 0.146286 SUCCESS 142
111110110   34   24   25   28   16   38   28   28 16.402722 0.036966 SUCCESS 143
111111000   28   34   20   32   35   18   26   26 14.436642 0.071071 SUCCESS 144
111111010   15   26   20   36   16   28   27   23 14.280414 0.074743 SUCCESS 145
111111100   24   26   29   18   33   21   26   34 10.385325 0.239016 SUCCESS 146
111111110   34   32   26   23   24   21   27   35 12.089923 0.147237 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   22   28   25   19   19   29   15   15 11.659636 0.167048 SUCCESS   0
000000011   24   24   20   22   19   24   20   13  8.642332 0.373360 SUCCESS   1
000000101   23   26   22   22   21   27   26   30  2.893038 0.940889 SUCCESS   2
000000111   27   30   28   20   20   34   26   20  8.639023 0.373656 SUCCESS   3
000001001   34   22   26   18   26   28   22   33 10.029180 0.262984 SUCCESS   4
000001011   28   26   23   20   19   21   18   25  5.034543 0.753878 SUCCESS   5
000001101   24   19   18   21   19   16   18   20 10.242338 0.248427 SUCCESS   6
000001111   25   28   23   20   20   28   21   21  3.815176 0.873402 SUCCESS   7
000010001   23   32   17   31   23   29   28   25  8.241173 0.410273 SUCCESS   8
000010011   21   22   23   20   33   23   19   22  6.331361 0.610168 SUCCESS   9
000010101   34   32   24   40   23   27   23   22 17.369212 0.026486 SUCCESS  10
000010111   29   21   19   17   25   29   16   29  9.737909 0.283905 SUCCESS  11
000011001   22   18   21   29   30   19   20   20  7.567939 0.476770 SUCCESS  12
000011011   16   27   16   26   26   16   20   26 10.397241 0.238244 SUCCESS  13
000011101   26   22   29   24   19   22   34   23  6.723253 0.566765 SUCCESS  14
000011111   22   22   25   18   22   27   31   23  4.696933 0.789423 SUCCESS  15
000100011   25   27   16   30   21   40   32   31 19.715931 0.011466 SUCCESS  16
000100101   24   25   28   28   22   43   21   23 16.596682 0.034594 SUCCESS  17
000100111   29   25   27   23   27   19   22   24  3.053899 0.930930 SUCCESS  18
000101001   11   20   23   27   24   25   33   22 12.195178 0.142706 SUCCESS  19
000101011   33   28   26   43   28   30   23   25 20.429545 0.008828 FAILURE  20
000101101   21   25   25   31   21   17   25   29  6.087090 0.637477 SUCCESS  21
000101111   26   22   19   19   23   17   16   26  8.320610 0.402795 SUCCESS  22
000110011   23   17   27   23   28   26   22   26  3.782077 0.876231 SUCCESS  23
000110101   25   21   24   23   28   27   26   22  1.782898 0.986959 SUCCESS  24
000110111   26   23   21   28   28   30   20   20  4.748567 0.784080 SUCCESS  25
000111001   24   29   23   19   26   23   24   25  2.434948 0.964695 SUCCESS  26
000111011   26   30   28   24   22   24   26   23  2.436272 0.964636 SUCCESS  27
000111101   22   27   28   33   18   23   20   20  7.671208 0.466228 SUCCESS  28
000111111   25   23   24   20   32   26   40   24 13.800479 0.087116 SUCCESS  29
001000011   21   20   18   26   29   22   30   30  6.951636 0.541860 SUCCESS  30
001000101   22   20   32   21   32   19   20   13 14.007679 0.081565 SUCCESS  31
